Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.601879799971,2,Yes,7,-1,Correct Rejection,0.40184769989,False,True,stimulus_2IFCnew_2019_Jun_12_1113_1,stimulus_2IFCnew_2019_Jun_12_1113_2,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,1,0,1,0,-1,0,Yes,2.6,-1,No Answer,-1,True,False,stimulus_2IFCnew_2019_Jun_12_1113_3,stimulus_2IFCnew_2019_Jun_12_1113_4,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,2,0,2,0,0.767736899899,4,Yes,7,-1,Miss,0.634110399988,True,False,stimulus_2IFCnew_2019_Jun_12_1113_5,stimulus_2IFCnew_2019_Jun_12_1113_6,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,3,0,3,0,-1,0,Yes,7,-1,No Answer,-1,False,True,stimulus_2IFCnew_2019_Jun_12_1113_7,stimulus_2IFCnew_2019_Jun_12_1113_8,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,4,0,4,0,0.568442400079,2,Yes,5,-1,Correct Rejection,0.600259700092,False,True,stimulus_2IFCnew_2019_Jun_12_1113_9,stimulus_2IFCnew_2019_Jun_12_1113_10,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,5,0,5,0,-1,0,Yes,2.5,-1,No Answer,-1,False,True,stimulus_2IFCnew_2019_Jun_12_1113_11,stimulus_2IFCnew_2019_Jun_12_1113_12,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,6,0,6,0,0.368741299957,2,Yes,2.5,-1,Correct Rejection,0.300480599981,False,True,stimulus_2IFCnew_2019_Jun_12_1113_13,stimulus_2IFCnew_2019_Jun_12_1113_14,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,7,0,7,0,0.398814100074,4,Yes,2.6,-1,Miss,0.564434699947,True,False,stimulus_2IFCnew_2019_Jun_12_1113_15,stimulus_2IFCnew_2019_Jun_12_1113_16,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,8,0,8,0,0.334144999972,5,Yes,2.6,-1,False Alarm,0.367175000021,False,True,stimulus_2IFCnew_2019_Jun_12_1113_17,stimulus_2IFCnew_2019_Jun_12_1113_18,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,9,0,9,0,0.400045099901,2,Yes,5,-1,Correct Rejection,0.568659499986,False,True,stimulus_2IFCnew_2019_Jun_12_1113_19,stimulus_2IFCnew_2019_Jun_12_1113_20,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,0,0,0,0,-1,0,Yes,3.8,-1,No Answer,-1,False,True,stimulus_2IFCnew_2019_Jun_12_1113_21,stimulus_2IFCnew_2019_Jun_12_1113_22,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,1,0,1,0,0.56664799992,2,Yes,2.6,-1,Correct Rejection,0.834206999978,False,True,stimulus_2IFCnew_2019_Jun_12_1113_23,stimulus_2IFCnew_2019_Jun_12_1113_24,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,2,0,2,0,0.700002399972,7,Yes,2.5,-1,Hit,0.867612800095,True,False,stimulus_2IFCnew_2019_Jun_12_1113_25,stimulus_2IFCnew_2019_Jun_12_1113_26,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,3,0,3,0,0.468070500065,3,No,8.2,-1,False Alarm,0.802885300014,False,True,stimulus_2IFCnew_2019_Jun_12_1113_27,stimulus_2IFCnew_2019_Jun_12_1113_28,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,4,0,4,0,0.367280400125,4,Yes,2.5,-1,Miss,0.534132800065,True,False,stimulus_2IFCnew_2019_Jun_12_1113_29,stimulus_2IFCnew_2019_Jun_12_1113_30,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,5,0,5,0,0.465523499995,1,No,6,-1,Hit,0.566948899999,True,False,stimulus_2IFCnew_2019_Jun_12_1113_31,stimulus_2IFCnew_2019_Jun_12_1113_32,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,6,0,6,0,-1,0,No,9.7,-1,No Answer,-1,False,True,stimulus_2IFCnew_2019_Jun_12_1113_33,stimulus_2IFCnew_2019_Jun_12_1113_34,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,7,0,7,0,0.665780999931,2,Yes,6,-1,Correct Rejection,0.602244600188,False,True,stimulus_2IFCnew_2019_Jun_12_1113_35,stimulus_2IFCnew_2019_Jun_12_1113_36,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,8,0,8,0,0.33405789989,1,No,2.5,-1,Hit,0.597550999839,True,False,stimulus_2IFCnew_2019_Jun_12_1113_37,stimulus_2IFCnew_2019_Jun_12_1113_38,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,9,0,9,0,0.368072800105,2,Yes,6,-1,Correct Rejection,0.568844999885,False,True,stimulus_2IFCnew_2019_Jun_12_1113_39,stimulus_2IFCnew_2019_Jun_12_1113_40,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,0,0,0,0,0.434315500082,6,No,3.8,-1,Miss,0.432578099892,True,False,stimulus_2IFCnew_2019_Jun_12_1113_41,stimulus_2IFCnew_2019_Jun_12_1113_42,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,1,0,1,0,-1,2,No,3.8,-1,False Alarm,0.735371400137,False,True,stimulus_2IFCnew_2019_Jun_12_1113_43,stimulus_2IFCnew_2019_Jun_12_1113_44,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,2,0,2,0,0.70117250015,2,Yes,9.7,-1,Correct Rejection,0.697709500091,False,True,stimulus_2IFCnew_2019_Jun_12_1113_45,stimulus_2IFCnew_2019_Jun_12_1113_46,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,3,0,3,0,0.399376000045,1,No,8.2,-1,Hit,0.500627100002,True,False,stimulus_2IFCnew_2019_Jun_12_1113_47,stimulus_2IFCnew_2019_Jun_12_1113_48,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,4,0,4,0,0.801795199979,2,Yes,2.6,-1,Correct Rejection,0.599731700029,False,True,stimulus_2IFCnew_2019_Jun_12_1113_49,stimulus_2IFCnew_2019_Jun_12_1113_50,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,5,0,5,0,0.433635199908,5,Yes,5,-1,False Alarm,0.700011299923,False,True,stimulus_2IFCnew_2019_Jun_12_1113_51,stimulus_2IFCnew_2019_Jun_12_1113_52,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,6,0,6,0,0.333292800002,7,Yes,9.7,-1,Hit,0.531270799926,True,False,stimulus_2IFCnew_2019_Jun_12_1113_53,stimulus_2IFCnew_2019_Jun_12_1113_54,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,7,0,7,0,0.500899699982,2,Yes,9.7,-1,Correct Rejection,0.566913699964,False,True,stimulus_2IFCnew_2019_Jun_12_1113_55,stimulus_2IFCnew_2019_Jun_12_1113_56,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,8,0,8,0,0.500263200141,4,Yes,2.6,-1,Miss,0.566423800075,True,False,stimulus_2IFCnew_2019_Jun_12_1113_57,stimulus_2IFCnew_2019_Jun_12_1113_58,True,2019_Jun_12_1113,2IFCnew,,,
2IFCnew,9,0,9,0,0.533631300088,2,Yes,9.7,-1,Correct Rejection,0.767556399805,False,True,stimulus_2IFCnew_2019_Jun_12_1113_59,stimulus_2IFCnew_2019_Jun_12_1113_60,True,2019_Jun_12_1113,2IFCnew,,,
