Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,0,0,0,0,5.0,-1,Correct Rejection,0.600504235364,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_1,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,1,0,1,0,5.0,-1,Correct Rejection,0.46757778246,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_2,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,2,0,2,0,5.0,-1,Hit,0.566926735453,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_3,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,3,0,3,0,5.0,-1,Correct Rejection,0.437696036883,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_4,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,4,0,4,0,5.0,-1,Correct Rejection,0.469143613242,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_5,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,5,0,5,0,5.0,-1,Correct Rejection,0.468279819936,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_6,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,6,0,6,0,5.0,-1,Correct Rejection,0.603311152663,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_7,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,7,0,7,0,5.0,-1,Hit,0.567283912096,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_8,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,8,0,8,0,5.0,-1,Correct Rejection,0.566675479989,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_9,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,9,0,9,0,5.0,-1,Hit,0.500632244162,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_10,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,10,0,10,0,5.0,-1,Miss,0.532436176203,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_11,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,11,0,11,0,5.0,-1,Hit,0.600038673729,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_12,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,12,0,12,0,5.0,-1,Correct Rejection,0.533219501842,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_13,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,13,0,13,0,5.0,-1,Hit,0.534560762811,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_14,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,14,0,14,0,5.0,-1,Hit,0.770274919458,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_15,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,15,0,15,0,5.0,-1,Hit,0.466736979783,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_16,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,16,0,16,0,5.0,-1,Hit,0.567351242062,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_17,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,17,0,17,0,5.0,-1,Correct Rejection,0.533604596276,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_18,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,18,0,18,0,5.0,-1,Correct Rejection,0.568459721748,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_19,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,19,0,19,0,5.0,-1,Hit,0.534919171594,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_20,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,20,0,20,0,5.0,-1,Correct Rejection,0.500922091305,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_21,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,21,0,21,0,5.0,-1,Hit,0.734125745948,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_22,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,22,0,22,0,5.0,-1,Hit,0.534434724599,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_23,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,23,0,23,0,5.0,-1,Correct Rejection,0.499767219182,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_24,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,24,0,24,0,5.0,-1,Correct Rejection,0.469552929513,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_25,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,25,0,25,0,5.0,-1,Correct Rejection,0.493179563899,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_26,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,26,0,26,0,5.0,-1,Correct Rejection,0.468310200609,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_27,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
Yes-No Task,27,0,27,0,5.0,-1,Correct Rejection,0.434527426027,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1647_28,-1,2019_Jun_11_1647,Yes-No Task,1,RORE28,
